"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Government military movements","Number","223","units","0","v1376027745","1.17.6","7","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027824","1.38.1","913","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Air carrier movements, level IV-VI","Number","223","units","0","v1376027825","1.38.2","107","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Other commercial movements","Number","223","units","0","v1376027826","1.38.3","2","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Private movements","Number","223","units","0","v1376027827","1.38.4","28","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Government civil movements","Number","223","units","0","v1376027828","1.38.5","32","","","","0"
"2022-01","Canada","2021A000011124","Iqaluit, Nunavut","Government military movements","Number","223","units","0","v1376027829","1.38.6","11","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028052","1.113.1","879","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376028053","1.113.2","307","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Other commercial movements","Number","223","units","0","v1376028054","1.113.3","150","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Private movements","Number","223","units","0","v1376028055","1.113.4","216","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Government civil movements","Number","223","units","0","v1376028056","1.113.5","20","","","","0"
"2022-01","Canada","2021A000011124","Kamloops, British Columbia","Government military movements","Number","223","units","0","v1376028057","1.113.6","10","","","","0"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028016","1.100.1","2647","","","","0"
